feature,top_motif,rpb,rpb_abs,mutual_info,precision,recall,f1_score,max_other_rpb,interpretable,monosemantic
z161,in_feedback_loop,-0.01940131734155433,0.01940131734155433,0.0007556232241518819,0.4090909090909091,0.08505154639175258,0.14082503556187767,0.014253905829643322,False,False
z151,in_feedback_loop,-0.018955556992885786,0.018955556992885786,0.0033894244942706208,0.344,0.07388316151202749,0.12164073550212164,0.018449173466641367,False,False
z343,in_feedback_loop,-0.018788630583888716,0.018788630583888716,0.000875503126467028,0.125,0.002577319587628866,0.005050505050505051,0.008441204916902412,False,False
z222,in_cascade,0.018666444867814613,0.018666444867814613,0.00037147543150808644,0.5,0.0010330578512396695,0.002061855670103093,0.010926065625593829,False,False
z16,in_cascade,-0.018625850025105223,0.018625850025105223,0.001041537024167411,0.17061611374407584,0.0371900826446281,0.061068702290076333,0.013675470384624678,False,False
z401,in_cascade,0.018517765245195692,0.018517765245195692,0.0005517560513039269,0.3333333333333333,0.002066115702479339,0.004106776180698152,0.011350697532327248,False,False
z96,in_feedback_loop,0.018396032140492385,0.018396032140492385,0.0021059948495597094,0.284,0.06099656357388316,0.10042432814710042,0.015903972198593727,False,False
z483,in_feedback_loop,0.01816567700077728,0.01816567700077728,0.00034454865939240447,0.5,0.000859106529209622,0.0017152658662092624,0.010339843837363407,False,False
z190,in_feedback_loop,-0.017968648389690464,0.017968648389690464,0.0004775062147533522,0.1,0.000859106529209622,0.0017035775127768314,0.00887501575334856,False,False
z367,in_feedback_loop,-0.017681299261844023,0.017681299261844023,0.0003725641069023803,0.13043478260869565,0.002577319587628866,0.005054759898904802,0.009874998838567201,False,False
z439,in_feedforward_loop,-0.016624087084719838,0.016624087084719838,0.0005280679951472575,0.09090909090909091,0.0008960573476702509,0.001774622892635315,0.014816435379456021,False,False
z440,in_cascade,0.01658657367863543,0.01658657367863543,0.0024096300576330484,0.236,0.060950413223140494,0.09688013136288998,0.010063038389930586,False,False
z140,in_cascade,0.01657309212714483,0.01657309212714483,0.001377307747211784,0.228,0.058884297520661155,0.0935960591133005,0.011157825660650126,False,False
z193,in_feedforward_loop,-0.01626150978165053,0.01626150978165053,0.0008518412679256542,0.196,0.04390681003584229,0.07174231332357248,0.00704672585251198,False,False
z282,in_single_input_module,0.016101586572867328,0.016101586572867328,0.0005110099088624538,0.3888888888888889,0.0063119927862939585,0.012422360248447206,0.014382688554484959,False,False
z276,in_feedback_loop,-0.01588354266065179,0.01588354266065179,0.00026515959255174384,0.0,0.0,0.0,0.014128224907640126,False,False
z74,in_cascade,0.015755445234807916,0.015755445234807916,0.0009166576668862073,0.244,0.06301652892561983,0.10016420361247948,0.012149389314070374,False,False
z192,in_feedback_loop,-0.01566365455159802,0.01566365455159802,0.014784505536522656,0.24,0.05154639175257732,0.08486562942008487,0.00855379805759258,False,False
z155,in_feedback_loop,0.015473683318761379,0.015473683318761379,0.0003975284074602039,0.3333333333333333,0.000859106529209622,0.0017137960582690659,0.011640721793167374,False,False
z399,in_cascade,0.015443493583897152,0.015443493583897152,0.0019893500583685894,0.24,0.06198347107438017,0.09852216748768473,0.010302040367794944,False,False
z462,in_feedforward_loop,-0.015405725122266496,0.015405725122266496,0.0006942871307704668,0.1875,0.010752688172043012,0.02033898305084746,0.009260734625858615,False,False
z5,in_feedback_loop,-0.01512912997741583,0.01512912997741583,0.017098680449099908,0.272,0.058419243986254296,0.09618104667609619,0.013872747025248836,False,False
z261,in_cascade,-0.014304328768181704,0.014304328768181704,0.0002583834701838409,0.0,0.0,0.0,0.01026715825397029,False,False
z253,in_feedback_loop,-0.014299693709808922,0.014299693709808922,0.0002121033651655939,0.0,0.0,0.0,0.01271940984192609,False,False
z113,in_feedback_loop,0.013448800893240206,0.013448800893240206,6.728978716842647e-05,0.5,0.000859106529209622,0.0017152658662092624,0.010716565639154373,False,False
z437,in_feedback_loop,-0.013318748718001757,0.013318748718001757,0.0013982578889668472,0.27835051546391754,0.023195876288659795,0.042823156225218074,0.01228525363560182,False,False
z402,in_feedforward_loop,-0.012601178986000782,0.012601178986000782,0.00015159516075309663,0.0,0.0,0.0,0.01255029260336809,False,False
z348,in_cascade,0.012447492896837187,0.012447492896837187,0.0011371073682783165,0.244,0.06301652892561983,0.10016420361247948,0.010465025658264654,False,False
z471,in_feedback_loop,0.012267910826658863,0.012267910826658863,0.0006095688639984071,0.125,0.000859106529209622,0.0017064846416382253,0.005751104449173073,False,False
z18,in_single_input_module,0.012188139568590878,0.012188139568590878,0.022603644060684363,0.172,0.0387736699729486,0.06328182487122884,0.007057141259694892,False,False
z58,in_feedforward_loop,0.01193450606696098,0.01193450606696098,0.0013226110639630974,0.1875,0.013440860215053764,0.02508361204013378,0.0055581392953326725,False,False
z389,in_feedforward_loop,-0.01162546147716573,0.01162546147716573,0.00039715277074582915,0.21367521367521367,0.022401433691756272,0.04055150040551501,0.010400758806537142,False,False
z30,in_cascade,0.011118508426970819,0.011118508426970819,0.0006511004070980852,0.21363636363636362,0.04855371900826446,0.07912457912457913,0.01028639386769815,False,False
z454,in_cascade,0.0111107225197082,0.0111107225197082,0.00041952250376558575,0.3076923076923077,0.004132231404958678,0.00815494393476045,0.010353156009427666,False,False
z219,in_cascade,0.010590048234696359,0.010590048234696359,0.0014432809738618264,0.232,0.05991735537190083,0.09523809523809525,0.007568660331302314,False,False
z361,in_feedback_loop,-0.010490203530265573,0.010490203530265573,0.00010602738491020079,0.0,0.0,0.0,0.010166743838332194,False,False
z130,in_cascade,0.008819880448849182,0.008819880448849182,0.0013635036249151434,0.244,0.06301652892561983,0.10016420361247948,0.003765719725059031,False,False
z386,in_cascade,0.008460224556415447,0.008460224556415447,0.0028251179838877545,0.244,0.06301652892561983,0.10016420361247948,0.004649961225843883,False,False
z178,in_feedforward_loop,0.007823304735894394,0.007823304735894394,0.0015326506940779837,0.19428571428571428,0.03046594982078853,0.052672347017815646,0.006498931934921685,False,False
z15,in_feedback_loop,-0.007791043380959272,0.007791043380959272,5.3007620838390994e-05,0.0,0.0,0.0,0.007581426314103147,False,False
z105,in_feedback_loop,-0.00779104338095927,0.00779104338095927,5.3007620838390994e-05,0.0,0.0,0.0,0.007581426314103149,False,False
z334,in_feedback_loop,-0.00779104338095927,0.00779104338095927,5.3007620838390994e-05,0.0,0.0,0.0,0.007581426314103147,False,False
z35,in_feedback_loop,-0.00779104338095927,0.00779104338095927,5.3007620838390994e-05,0.0,0.0,0.0,0.007581426314103147,False,False
