graph_id,experiment,n_ablated,ablated_features,sae_recon_mse,sae_ablation_mse,latent_change_mean,n_affected_nodes,total_nodes,gnn_fidelity_mse,gnn_causal_mse
3330,latent512_k16_ablate_z496,1,z496,1.2158062645539758e-07,0.0,0.0,0,10,2.229645801321567e-09,0.0
4857,latent512_k16_ablate_z496,1,z496,5.479783794726245e-06,7.825983416864801e-09,5.918427632423118e-07,1,10,1.758045641508943e-06,2.721454173126858e-10
3166,latent512_k16_ablate_z496,1,z496,1.3173114155051735e-07,4.450877355566263e-08,1.4114317536950693e-06,1,10,1.3119428210472961e-08,2.6652888784894913e-09
205,latent512_k16_ablate_z496,1,z496,2.0816089829622797e-07,0.0,0.0,0,10,2.7948338088279456e-10,0.0
4410,latent512_k16_ablate_z496,1,z496,8.395618351642042e-07,5.675783043557203e-08,2.6806542336998973e-06,3,10,5.602348807087765e-08,1.1366287466785252e-08
1351,latent512_k16_ablate_z496,1,z496,9.522468502609627e-08,0.0,0.0,0,10,3.721564167946667e-09,0.0
2459,latent512_k16_ablate_z496,1,z496,2.9367816622993814e-08,0.0,0.0,0,10,2.0026832969755048e-10,0.0
2903,latent512_k16_ablate_z496,1,z496,5.154128146500625e-08,0.0,0.0,0,10,4.01639166369705e-10,0.0
2248,latent512_k16_ablate_z496,1,z496,2.9366509224360016e-08,0.0,0.0,0,10,1.5441754819267572e-10,0.0
4251,latent512_k16_ablate_z496,1,z496,3.9853416637924965e-06,4.063497840434138e-07,4.7461880967603065e-06,2,10,1.0496293043615879e-06,1.0407070760720671e-07
2499,latent512_k16_ablate_z496,1,z496,2.6561039589978463e-08,0.0,0.0,0,10,1.1112390868595057e-10,0.0
1526,latent512_k16_ablate_z496,1,z496,1.3442675594887987e-07,1.799798532431396e-08,8.975302989711054e-07,1,10,1.680234840151229e-09,4.903179945392466e-11
3354,latent512_k16_ablate_z496,1,z496,7.594847062364352e-08,2.7957133497125142e-08,1.118622435569705e-06,1,10,3.603771447924231e-10,1.8001603541151212e-09
