graph_id,experiment,n_ablated_features,ablated_features,reconstruction_mse,latent_change_mean,n_affected_nodes,total_nodes,gnn_output_mse
577,latent512_k4_ablate_z290,1,z290,9.145780381913937e-07,0.0,0,10,4.3033230312516935e-09
4783,latent512_k4_ablate_z290,1,z290,6.8663152887893375e-06,0.0,0,10,1.3215346825745655e-06
3299,latent512_k4_ablate_z290,1,z290,5.857454539182072e-07,0.0,0,10,8.144061425241489e-09
190,latent512_k4_ablate_z290,1,z290,3.13978318899899e-07,0.0,0,10,1.9439461151904425e-09
4538,latent512_k4_ablate_z290,1,z290,1.931812585098669e-05,0.0,0,10,2.1440112050186144e-06
2545,latent512_k4_ablate_z290,1,z290,2.551699367359106e-07,0.0,0,10,1.1184500436911549e-08
4734,latent512_k4_ablate_z290,1,z290,3.5994380596093833e-05,0.0,0,10,1.1571386494324543e-05
1564,latent512_k4_ablate_z290,1,z290,7.652218982912018e-07,0.0,0,10,4.9243361388562334e-08
65,latent512_k4_ablate_z290,1,z290,8.770606427788152e-07,0.0,0,10,1.886929723582398e-08
442,latent512_k4_ablate_z290,1,z290,5.813654411213065e-07,0.0,0,10,1.677181060699695e-08
