graph_id,Loss (Original),Loss (Full SAE),Loss (Ablated),SAE Degradation,Ablation Impact,Total Impact
1200,0.0047785574570298195,0.004792072810232639,0.005021297838538885,1.3515353202819824e-05,0.0002292250283062458,0.00024274038150906563
1878,,,,,,
1281,0.004449000582098961,0.004455974791198969,0.007752118166536093,6.974209100008011e-06,0.003296143375337124,0.003303117584437132
3240,0.003178768791258335,0.0031745759770274162,0.0031759340781718493,-4.192814230918884e-06,1.3581011444330215e-06,-2.8347130864858627e-06
3884,0.002633233554661274,0.0026334263384342194,0.0026278169825673103,1.9278377294540405e-07,-5.609355866909027e-06,-5.416572093963623e-06
478,0.0041121914982795715,0.004113433416932821,0.004068228416144848,1.2419186532497406e-06,-4.5205000787973404e-05,-4.396308213472366e-05
4233,0.00019202049588784575,0.0002142540761269629,0.0002595571568235755,2.2233580239117146e-05,4.5303080696612597e-05,6.753666093572974e-05
3577,0.006105754990130663,0.006103473249822855,0.0061663356609642506,-2.2817403078079224e-06,6.286241114139557e-05,6.0580670833587646e-05
3869,9.602555655874312e-05,9.825703455135226e-05,7.978503708727658e-05,2.2314779926091433e-06,-1.8471997464075685e-05,-1.624051947146654e-05
2686,0.00031128854607231915,0.00031167344423010945,0.00029744315543211997,3.8489815779030323e-07,-1.4230288797989488e-05,-1.3845390640199184e-05
1540,0.004782292991876602,0.004802640527486801,0.004755720496177673,2.0347535610198975e-05,-4.692003130912781e-05,-2.6572495698928833e-05
987,0.007908549159765244,0.007907875813543797,0.00793407578021288,-6.73346221446991e-07,2.619996666908264e-05,2.552662044763565e-05
3494,0.007351001258939505,0.007347241044044495,0.007224404718726873,-3.7602148950099945e-06,-0.00012283632531762123,-0.00012659654021263123
182,0.0037126755341887474,0.003711442230269313,0.003768147202208638,-1.2333039194345474e-06,5.670497193932533e-05,5.5471668019890785e-05
2743,0.027479086071252823,0.027479108422994614,0.027478288859128952,2.2351741790771484e-08,-8.195638656616211e-07,-7.972121238708496e-07
1532,0.0077257282100617886,0.007707322482019663,0.00788083951920271,-1.8405728042125702e-05,0.00017351703718304634,0.00015511130914092064
4631,0.01677996851503849,0.01674901880323887,0.016733093187212944,-3.094971179962158e-05,-1.5925616025924683e-05,-4.6875327825546265e-05
1383,0.004569694399833679,0.004569012671709061,0.004722465295344591,-6.817281246185303e-07,0.00015345262363553047,0.00015277089551091194
2632,0.03165041655302048,0.03165041655302048,0.03165041655302048,0.0,0.0,0.0
